Rank, Word, Likelihood 
797, allan, 1.048265238236961e-06
798, scary, 1.0451950497423034e-06
799, login, 1.0387301464714109e-06
800, tower, 1.0384535734883727e-06
801, bacon, 1.0362942695402812e-06
802, david, 1.02628840886511e-06
803, think, 1.0166147285934001e-06
804, laura, 1.0135835612912405e-06
805, smart, 1.0083043109323956e-06
806, clubs, 1.0067486537324982e-06
807, susan, 1.0042474834133991e-06
808, sugar, 9.964968625779399e-07
809, bunch, 9.957191449695891e-07
810, drive, 9.892592660016308e-07
811, fresh, 9.886271039033182e-07
812, teddy, 9.842746332312155e-07
813, gauge, 9.696197558994378e-07
814, brook, 9.687881978357727e-07
815, grill, 9.6276453708573e-07
816, wheat, 9.605716266944336e-07
817, metal, 9.593712023815913e-07
818, yours, 9.547230643800471e-07
819, bucks, 9.545097343565287e-07
820, daddy, 9.463523942854587e-07
821, logan, 9.433559660039614e-07
822, radar, 9.422873050893196e-07
823, elvis, 9.404344457108467e-07
824, busty, 9.403714067261256e-07
825, drove, 9.368228365334837e-07
826, still, 9.361791468854135e-07
827, vegas, 9.3482670325708e-07
828, digit, 9.347079253683756e-07
829, patio, 9.213581842171485e-07
830, mason, 9.209243819190427e-07
831, kings, 9.130840844517741e-07
832, stood, 9.0186331043738e-07
833, liked, 8.996202877996768e-07
834, casio, 8.956645349539205e-07
835, virus, 8.936216295210297e-07
836, sleep, 8.935445764443007e-07
837, limit, 8.928689534536976e-07
838, kerry, 8.902561586261114e-07
839, jerry, 8.902561586261114e-07
840, milfs, 8.814575790644194e-07
841, lodge, 8.791228568070948e-07
842, sudan, 8.786443622849262e-07
843, valid, 8.752879875272475e-07
844, click, 8.736378278259388e-07
845, pasta, 8.70991625432119e-07
846, fluid, 8.626483676875714e-07
847, brief, 8.619391141194141e-07
848, grave, 8.605912144879398e-07
849, curve, 8.586076937162597e-07
850, watch, 8.583194529097375e-07
851, meyer, 8.560206084927515e-07
852, dodge, 8.546887348525179e-07
853, craig, 8.5427529234466e-07
854, glenn, 8.542582336700424e-07
855, being, 8.49898059100154e-07
856, zones, 8.42000021951471e-07
857, brush, 8.415491411189263e-07
858, favor, 8.369787484028917e-07
859, north, 8.340120381433706e-07
860, flows, 8.323820303738922e-07
861, clerk, 8.290466428262324e-07
862, clock, 8.273299994194829e-07
863, wayne, 8.267128343357983e-07
864, guild, 8.230176284134859e-07
865, lanka, 8.220563202953499e-07
866, apart, 8.192931404090661e-07
867, rebel, 8.10423209155532e-07
868, spank, 8.081462101695058e-07
869, jamie, 8.080588621290358e-07
870, allah, 8.053400896249961e-07
871, trunk, 8.014581133849537e-07
872, pitch, 7.98606458429868e-07
873, block, 7.977679368478157e-07
874, scott, 7.937580690490408e-07
875, sheep, 7.910508906598314e-07
876, alive, 7.898339703352376e-07
877, power, 7.888995101142428e-07
878, niger, 7.8809084285684e-07
879, linda, 7.862881035786793e-07
880, error, 7.808103259824664e-07
881, cloud, 7.798163762104729e-07
882, chick, 7.73427537958884e-07
883, proud, 7.677556663014389e-07
884, lewis, 7.67502036134102e-07
885, juice, 7.662062898185407e-07
886, civil, 7.61556708655798e-07
887, ghost, 7.612696621070365e-07
888, ghana, 7.588663246640732e-07
889, cargo, 7.575833189780722e-07
890, elder, 7.522333312412973e-07
891, never, 7.502866852122578e-07
892, welsh, 7.490978012507506e-07
893, cache, 7.434566358261796e-07
894, keeps, 7.423976565775838e-07
895, mixer, 7.389865512083899e-07
896, kelly, 7.386268490221923e-07
897, acids, 7.329531851324907e-07
898, doing, 7.321074524909673e-07
899, punch, 7.28404306791579e-07
900, steal, 7.271996742596644e-07
901, fixed, 7.269723782634384e-07
902, tommy, 7.249623993014289e-07
903, nurse, 7.246935941519633e-07
904, focal, 7.197809903797914e-07
905, lower, 7.18897597251704e-07
906, thick, 7.181554862072634e-07
907, roman, 7.178952633295494e-07
908, funky, 7.124876002143765e-07
909, julie, 7.091989035753886e-07
910, flesh, 7.083294296452508e-07
911, bring, 7.073378035366843e-07
912, gotta, 7.030774203325578e-07
913, manga, 7.026427404918385e-07
914, plays, 7.010900884850216e-07
915, vault, 6.998355261909503e-07
916, mixed, 6.992902859557652e-07
917, congo, 6.988705314164436e-07
918, myers, 6.927263726534002e-07
919, grows, 6.911766773901378e-07
920, sized, 6.907918791090701e-07
921, ratio, 6.880010895245957e-07
922, elect, 6.828012328366195e-07
923, skins, 6.805351648484213e-07
924, aware, 6.786622618079904e-07
925, novel, 6.755245765996446e-07
926, honda, 6.745016287164708e-07
927, craft, 6.710563521303599e-07
928, value, 6.698119738755533e-07
929, woman, 6.69363864241306e-07
930, spell, 6.658129786547436e-07
931, dicke, 6.651299847654172e-07
932, shaft, 6.650609219713689e-07
933, lunch, 6.637703525819507e-07
934, nasty, 6.5959170507135e-07
935, dryer, 6.561579887849406e-07
936, local, 6.559122142901958e-07
937, tyler, 6.516002616757486e-07
938, claim, 6.47839617104614e-07
939, stack, 6.446018135327304e-07
940, types, 6.413375542500185e-07
941, rural, 6.340088754303333e-07
942, grove, 6.291046098645596e-07
943, tough, 6.287102530422658e-07
944, derby, 6.252077335244135e-07
945, smoke, 6.241037200959917e-07
946, guest, 6.227968608846419e-07
947, check, 6.210869753332136e-07
948, buyer, 6.195586674647644e-07
949, panic, 6.191150606593221e-07
950, modem, 6.163215490487175e-07
951, outer, 6.157832821106776e-07
952, photo, 6.080430629868062e-07
953, rapid, 6.078695412571823e-07
954, emacs, 6.048413326338103e-07
955, drama, 6.046911441320978e-07
956, order, 6.037222528628379e-07
957, keith, 6.030315944267074e-07
958, which, 5.981463454444138e-07
959, fewer, 5.935442435353627e-07
960, quiet, 5.919877061063751e-07
961, cohen, 5.916660843012008e-07
962, twice, 5.910936723937813e-07
963, small, 5.891716001242709e-07
964, tulsa, 5.839917985648632e-07
965, wagon, 5.83201408056852e-07
966, latex, 5.81541174342875e-07
967, flour, 5.813060503499711e-07
968, argue, 5.787102889047104e-07
969, metro, 5.761018581720488e-07
970, medal, 5.755848913342236e-07
971, noble, 5.738497351484708e-07
972, mpegs, 5.733572117832268e-07
973, audit, 5.732292982684937e-07
974, chief, 5.669826351799909e-07
975, venue, 5.665288771941362e-07
976, truck, 5.661648655131082e-07
977, stays, 5.660816600296701e-07
978, study, 5.658709317484356e-07
979, labor, 5.567417476844365e-07
980, opens, 5.563873062578566e-07
981, witch, 5.560253874762365e-07
982, align, 5.506586704724879e-07
983, robin, 5.474026452207804e-07
984, legal, 5.452744467206545e-07
985, drunk, 5.394102376709773e-07
986, realm, 5.372911911871985e-07
987, anger, 5.346059113936063e-07
988, heavy, 5.34452635864819e-07
989, decor, 5.331962290586434e-07
990, anime, 5.327107770916946e-07
991, charm, 5.325803437387091e-07
992, kitty, 5.307809075817575e-07
993, flyer, 5.306491102311548e-07
994, naked, 5.209350318442069e-07
995, buddy, 5.205814586801641e-07
996, pixel, 5.204059756582401e-07
997, steve, 5.187369623600477e-07
998, devil, 5.142751638710662e-07
999, shift, 5.133813024498543e-07
1000, media, 5.131303492613639e-07
1001, reply, 5.12961185659344e-07
1002, cream, 5.090365909183416e-07
1003, armor, 5.074324436533173e-07
1004, ridge, 5.015799507802961e-07
1005, stick, 4.975882774950018e-07
1006, robot, 4.975263418385868e-07
1007, jesse, 4.972352538669563e-07
1008, lemon, 4.962197822390882e-07
1009, going, 4.916320944763869e-07
1010, pussy, 4.913543384157433e-07
1011, sword, 4.89766564957134e-07
1012, smith, 4.844059614652381e-07
1013, pumps, 4.77753993009703e-07
1014, globe, 4.7344758757592134e-07
1015, stock, 4.7121323759014383e-07
1016, bingo, 4.692127968011771e-07
1017, laugh, 4.677999148007798e-07
1018, adams, 4.663213092367287e-07
1019, sharp, 4.626547368315828e-07
1020, yeast, 4.616100280981639e-07
1021, ralph, 4.591328711443985e-07
1022, dildo, 4.589206311339683e-07
1023, units, 4.5859072070316895e-07
1024, devon, 4.576749454373844e-07
1025, agree, 4.5724332444312224e-07
1026, enter, 4.570430521991866e-07
1027, cisco, 4.5593793751626385e-07
1028, chevy, 4.5552920628835567e-07
1029, rocky, 4.5489129726446297e-07
1030, sight, 4.531736089897978e-07
1031, doubt, 4.5226624876038344e-07
1032, hello, 4.520702412197579e-07
1033, sixth, 4.5004387294242224e-07
1034, viral, 4.4922640146411495e-07
1035, retro, 4.472190745751787e-07
1036, macro, 4.4687103382675177e-07
1037, flush, 4.410805444594759e-07
1038, calif, 4.357010289033412e-07
1039, aside, 4.3370311975361073e-07
1040, older, 4.325536264847336e-07
1041, thing, 4.320349588227213e-07
1042, utils, 4.3056250315843215e-07
1043, crowd, 4.2880605022953487e-07
1044, depot, 4.275438751594049e-07
1045, width, 4.245243860909859e-07
1046, quite, 4.2406597996541087e-07
1047, angle, 4.2144616092443545e-07
1048, draft, 4.193688785122209e-07
1049, alarm, 4.1894503484299484e-07
1050, inner, 4.1649266168943427e-07
1051, scope, 4.161375116906892e-07
1052, tumor, 4.1402864128911935e-07
1053, sigma, 4.128452886274262e-07
1054, radio, 4.127735243342557e-07
1055, thong, 4.0913462174764347e-07
1056, speak, 4.089984026603556e-07
1057, nerve, 4.0650895154689716e-07
1058, valve, 4.0592118366611314e-07
1059, quote, 4.0158804459244024e-07
1060, crown, 3.995555199096592e-07
1061, edges, 3.9848781931742183e-07
1062, jesus, 3.9613747950244275e-07
1063, shown, 3.959857642450972e-07
1064, begun, 3.9474189110177866e-07
1065, serum, 3.9107790513633827e-07
1066, dutch, 3.893732552981147e-07
1067, chuck, 3.8675419906506455e-07
1068, brown, 3.852786469705511e-07
1069, tahoe, 3.844457893160111e-07
1070, graph, 3.79571030921278e-07
1071, klein, 3.7586122806613944e-07
1072, gifts, 3.709686705966685e-07
1073, dozen, 3.697548520916328e-07
1074, smell, 3.6521887342058947e-07
1075, angel, 3.621421554402453e-07
1076, promo, 3.6192673519966364e-07
1077, lexus, 3.6144277523888144e-07
1078, depth, 3.6139291634952955e-07
1079, queen, 3.576070006747289e-07
1080, rough, 3.566529102648204e-07
1081, refer, 3.545714083652298e-07
1082, visit, 3.5112350681937107e-07
1083, basic, 3.5016756274725073e-07
1084, april, 3.488715958567016e-07
1085, asset, 3.4793610549468496e-07
1086, along, 3.466085683753478e-07
1087, highs, 3.452855672746575e-07
1088, icons, 3.4414814861498623e-07
1089, irish, 3.427776902830809e-07
1090, acute, 3.4276072023450954e-07
1091, drawn, 3.4157681291021546e-07
1092, wrong, 3.4117064950171525e-07
1093, style, 3.3776997614192837e-07
1094, samba, 3.359925984506947e-07
1095, renew, 3.317102602817319e-07
1096, saudi, 3.2929546066212276e-07
1097, mayor, 3.2642750577805555e-07
1098, views, 3.1896964247181697e-07
1099, dream, 3.1811650925798774e-07
1100, bryan, 3.1652909930979394e-07
1101, paxil, 3.1363980556190787e-07
1102, bloom, 3.1222019376033593e-07
1103, villa, 3.0854827463315155e-07
1104, gnome, 3.040054121733798e-07
1105, evans, 3.023137675162328e-07
1106, award, 2.986151413475163e-07
1107, bobby, 2.959722148975183e-07
1108, twist, 2.9282973727405127e-07
1109, micro, 2.894862034095781e-07
1110, crazy, 2.8943698778546186e-07
1111, syria, 2.861121790445511e-07
1112, disco, 2.849331221146489e-07
1113, yemen, 2.8399276086412157e-07
1114, yield, 2.8101277264815755e-07
1115, prize, 2.7896296992392774e-07
1116, jason, 2.787690111964853e-07
1117, diego, 2.77867420107748e-07
1118, sanyo, 2.762645315139267e-07
1119, comic, 2.745307771564102e-07
1120, italy, 2.7343380901961525e-07
1121, amend, 2.694133777919677e-07
1122, tight, 2.693097009184698e-07
1123, vital, 2.68751628712667e-07
1124, scout, 2.672687710317218e-07
1125, video, 2.670683437297463e-07
1126, qatar, 2.663560220292337e-07
1127, tampa, 2.661855600437688e-07
1128, shelf, 2.607711382112473e-07
1129, ended, 2.5947814197061725e-07
1130, naval, 2.5744130833010053e-07
1131, haiti, 2.557392445850981e-07
1132, asian, 2.5522479271791537e-07
1133, mardi, 2.5347804524126565e-07
1134, sparc, 2.529578133060338e-07
1135, inter, 2.5130273377216396e-07
1136, kinda, 2.512444448276133e-07
1137, storm, 2.504733949554294e-07
1138, stuck, 2.48820149634981e-07
1139, vsnet, 2.4802345482839526e-07
1140, theft, 2.449966948021458e-07
1141, angry, 2.3549415456458945e-07
1142, forum, 2.3466799224361048e-07
1143, karma, 2.3340772413808156e-07
1144, olive, 2.3295350823581757e-07
1145, apple, 2.3109021194243645e-07
1146, joyce, 2.2724033557472907e-07
1147, lucia, 2.2406235448905226e-07
1148, maybe, 2.2007717398164052e-07
1149, kevin, 2.2001068428622862e-07
1150, cycle, 2.1899423216450195e-07
1151, debut, 2.1871620328983298e-07
1152, johns, 2.1755383331255176e-07
1153, quilt, 2.169992322746428e-07
1154, magic, 2.1558747250886193e-07
1155, lucky, 2.127145544743333e-07
1156, royal, 2.1214197554462187e-07
1157, vocal, 2.0958513728613308e-07
1158, fifty, 2.0845097584882382e-07
1159, steam, 2.0772582151908045e-07
1160, fight, 2.0459103473437362e-07
1161, items, 2.0388915588314126e-07
1162, newer, 2.0289363923121485e-07
1163, added, 2.0227556505884495e-07
1164, entry, 2.0132767873197555e-07
1165, japan, 2.0058523338047515e-07
1166, human, 2.0050595626963762e-07
1167, cyber, 1.9740185112321484e-07
1168, lobby, 1.9730220356764032e-07
1169, might, 1.9680049402309095e-07
1170, ideas, 1.9610036255517613e-07
1171, audio, 1.9455978587895071e-07
1172, youth, 1.916226243340378e-07
1173, logic, 1.900201395514008e-07
1174, organ, 1.8874776010424346e-07
1175, sperm, 1.8810812467314829e-07
1176, emily, 1.8648855620758557e-07
1177, light, 1.864369306915681e-07
1178, skirt, 1.8321352537502512e-07
1179, civic, 1.813389139778428e-07
1180, julia, 1.808596665710782e-07
1181, cheap, 1.7951485435867912e-07
1182, query, 1.7865500850770243e-07
1183, orbit, 1.7767948300309748e-07
1184, owner, 1.7415796539240085e-07
1185, lycos, 1.7324230139770716e-07
1186, humor, 1.711933713185902e-07
1187, intel, 1.7023252406439063e-07
1188, topic, 1.6994118093073004e-07
1189, grown, 1.676794111400073e-07
1190, amber, 1.670260030664392e-07
1191, users, 1.661303355771104e-07
1192, owned, 1.6480269258159073e-07
1193, vista, 1.6429326259075773e-07
1194, happy, 1.6255325259651194e-07
1195, relax, 1.622361769690956e-07
1196, proof, 1.5939102638570303e-07
1197, gamma, 1.589655485731465e-07
1198, kathy, 1.5888542293994593e-07
1199, annex, 1.5887799121732414e-07
1200, papua, 1.588639525195061e-07
1201, turbo, 1.5490962973857608e-07
1202, unity, 1.5330669257002192e-07
1203, right, 1.5277321807675935e-07
1204, aruba, 1.4766187506023922e-07
1205, kodak, 1.470638500475403e-07
1206, combo, 1.451287481611739e-07
1207, adult, 1.4435873176529348e-07
1208, email, 1.434582651831049e-07
1209, miami, 1.432053870398047e-07
1210, amino, 1.4104794503211353e-07
1211, strip, 1.4036333655428753e-07
1212, dylan, 1.3710845203018408e-07
1213, below, 1.341527364941441e-07
1214, floyd, 1.334363707219221e-07
1215, quest, 1.3256832769858057e-07
1216, apply, 1.305572797477865e-07
1217, setup, 1.3007970039808405e-07
1218, strap, 1.2747544816766655e-07
1219, nepal, 1.2663801099742064e-07
1220, indie, 1.265952245600756e-07
1221, enemy, 1.2396237195642548e-07
1222, upset, 1.219904780038406e-07
1223, lloyd, 1.215960779137585e-07
1224, swing, 1.1969038213825493e-07
1225, hobby, 1.1784429103254113e-07
1226, multi, 1.1719990145802374e-07
1227, jewel, 1.1707348101194956e-07
1228, onion, 1.1665186997958748e-07
1229, fifth, 1.1621625607595027e-07
1230, actor, 1.1555182166721178e-07
1231, queue, 1.146637886780094e-07
1232, adobe, 1.1451051534034606e-07
1233, jimmy, 1.1165688472639897e-07
1234, asked, 1.1121110700666782e-07
1235, nokia, 1.0967408706641698e-07
1236, judge, 1.0763888623130377e-07
1237, skill, 1.0705518635519317e-07
1238, again, 1.0697178451287366e-07
1239, puppy, 1.0647531117090454e-07
1240, mambo, 1.0584153648993403e-07
1241, screw, 1.0479289181247529e-07
1242, eight, 1.0359989688994744e-07
1243, under, 1.0281610503978241e-07
1244, exams, 1.0260833152437272e-07
1245, avoid, 1.0084622739325369e-07
1246, arrow, 9.826373927401379e-08
1247, agent, 9.805567112211154e-08
1248, rugby, 9.633036488128884e-08
1249, msgid, 9.348967850174899e-08
1250, ultra, 9.347849199091307e-08
1251, eddie, 9.205893101290089e-08
1252, toxic, 9.146515788946936e-08
1253, admit, 9.08455988601535e-08
1254, newly, 9.036418150297598e-08
1255, knows, 8.835071137524125e-08
1256, music, 8.784688339773565e-08
1257, image, 8.689691882046659e-08
1258, abuse, 8.644289996970922e-08
1259, swift, 8.452161725672223e-08
1260, nikon, 8.393628605694856e-08
1261, adopt, 8.320062436260251e-08
1262, throw, 8.310420462597334e-08
1263, apnic, 8.236644985646887e-08
1264, linux, 8.207878262476668e-08
1265, urban, 7.915249774460347e-08
1266, stamp, 7.745401392946688e-08
1267, after, 7.624678460230863e-08
1268, union, 7.606513657337229e-08
1269, ebony, 7.387878363760112e-08
1270, uncle, 7.335529645097948e-08
1271, cubic, 7.284748592589702e-08
1272, remix, 7.256463141782364e-08
1273, opera, 7.00880572739971e-08
1274, night, 6.993618427513874e-08
1275, volvo, 6.986354030191607e-08
1276, exact, 6.887318102072343e-08
1277, admin, 6.833834009710496e-08
1278, diffs, 6.768174929840351e-08
1279, howto, 6.669289491424497e-08
1280, quick, 6.665581496755352e-08
1281, mazda, 6.630253752382999e-08
1282, plaza, 6.603046937187626e-08
1283, essay, 6.559318384935796e-08
1284, epson, 6.532951388943569e-08
1285, major, 6.516538063830549e-08
1286, knock, 6.194404755640483e-08
1287, among, 6.13801575734409e-08
1288, ocean, 6.044899671425582e-08
1289, event, 6.043652220287033e-08
1290, usage, 5.9257811014960583e-08
1291, allow, 5.7772964241338506e-08
1292, young, 5.752668002871858e-08
1293, upper, 5.63768227301499e-08
1294, climb, 5.2414856435310524e-08
1295, every, 5.2297630730107306e-08
1296, group, 5.192945594139031e-08
1297, knife, 5.098558048448148e-08
1298, scoop, 4.98108287474028e-08
1299, lying, 4.924096866298209e-08
1300, exist, 4.8325216166281085e-08
1301, dying, 4.7872377431214333e-08
1302, above, 4.676817296142457e-08
1303, until, 4.5322967013610186e-08
1304, oxide, 4.516526283848093e-08
1305, about, 4.2060595424615964e-08
1306, scuba, 4.203501495184696e-08
1307, delhi, 4.109910768927036e-08
1308, vinyl, 4.0058701015075375e-08
1309, nylon, 3.982654804846513e-08
1310, yacht, 3.9791081832010525e-08
1311, empty, 3.912345210280066e-08
1312, edgar, 3.887549715698026e-08
1313, alpha, 3.7702570247256506e-08
1314, ideal, 3.6549142818943334e-08
1315, intro, 3.624620713207711e-08
1316, squad, 3.6168515135970743e-08
1317, kenya, 3.504645858869971e-08
1318, lyric, 3.46179431739235e-08
1319, debug, 3.411297157274012e-08
1320, ivory, 3.391069315887086e-08
1321, ought, 3.2785080452622535e-08
1322, india, 3.228427171558955e-08
1323, cliff, 3.063485749356072e-08
1324, proxy, 2.96850214917648e-08
1325, excel, 2.8835476712834218e-08
1326, dubai, 2.7576116268422324e-08
1327, ozone, 2.5064920094267528e-08
1328, tokyo, 2.5022311396360988e-08
1329, oscar, 2.4580916803088557e-08
1330, album, 2.399231472234535e-08
1331, issue, 2.3668267599483088e-08
1332, czech, 2.3025166879433403e-08
1333, staff, 2.2603513800229343e-08
1334, other, 2.2540030942287508e-08
1335, thumb, 2.154551399900706e-08
1336, known, 2.1433876086705736e-08
1337, lopez, 1.9959376203775065e-08
1338, often, 1.9828605463424396e-08
1339, aging, 1.9044892242307008e-08
1340, usual, 1.885705169248023e-08
1341, yukon, 1.881251203766312e-08
1342, zdnet, 1.7756297066927014e-08
1343, isaac, 1.7057968295861047e-08
1344, essex, 1.6379907803779516e-08
1345, index, 1.622043402075856e-08
1346, twiki, 1.6125150550906796e-08
1347, ebook, 1.6077082421974664e-08
1348, extra, 1.5588259341887234e-08
1349, input, 1.4383684706640709e-08
1350, omega, 1.4366029000681882e-08
1351, xanax, 1.4214675127066788e-08
1352, jacob, 1.3447909443109806e-08
1353, omaha, 1.2951455194268236e-08
1354, using, 1.2465452493529725e-08
1355, skype, 1.175496617489741e-08
1356, islam, 1.1489231931798297e-08
1357, endif, 1.0357776254888151e-08
1358, ascii, 9.872663076682561e-09
1359, hindu, 9.148688717770195e-09
1360, occur, 9.113501639972823e-09
1361, stuff, 8.725091316802271e-09
1362, xhtml, 8.296344521596825e-09
1363, xerox, 7.555089000143475e-09
1364, yahoo, 7.521267967725907e-09
1365, idaho, 7.393726528083275e-09
1366, enjoy, 6.341971216929712e-09
1367, equal, 5.919019316384102e-09
1368, tvcom, 5.715587901962879e-09
1369, sbjct, 5.27604882772779e-09
1370, rehab, 5.065070811799276e-09
1371, fuzzy, 4.3861532330262e-09
1372, phpbb, 3.6600735820208394e-09
1373, awful, 3.6281769484989605e-09
1374, pizza, 3.5975627882964e-09
1375, inbox, 2.7845539249574005e-09
1376, offer, 2.5716018477793843e-09
1377, iraqi, 2.01613641002425e-09
1378, egypt, 1.8282706644338525e-09
1379, mysql, 1.2855571650764699e-09
